station_id,cluster_id
22907,Cluster 24
30200,Cluster 8
30201,Cluster 8
31100,Cluster 6
31101,Cluster 3
31102,Cluster 2
31104,Cluster 1
31105,Cluster 2
31106,Cluster 1
31107,Cluster 2
31108,Cluster 9
31109,Cluster 3
31110,Cluster 6
31111,Cluster 3
31112,Cluster 1
31113,Cluster 1
31114,Cluster 1
31115,Cluster 2
31116,Cluster 1
31117,Cluster 2
31118,Cluster 3
31119,Cluster 2
31120,Cluster 3
31121,Cluster 15
31122,Cluster 2
31123,Cluster 2
31124,Cluster 2
31125,Cluster 3
31126,Cluster 2
31127,Cluster 5
31128,Cluster 5
31129,Cluster 8
31130,Cluster 3
31131,Cluster 2
31132,Cluster 3
31133,Cluster 1
31134,Cluster 3
31135,Cluster 2
31136,Cluster 2
31137,Cluster 21
31138,Cluster 3
31139,Cluster 6
31140,Cluster 6
31200,Cluster 6
31201,Cluster 7
31202,Cluster 7
31203,Cluster 7
31204,Cluster 5
31205,Cluster 5
31206,Cluster 5
31207,Cluster 3
31208,Cluster 27
31209,Cluster 27
31210,Cluster 6
31211,Cluster 5
31212,Cluster 5
31213,Cluster 6
31214,Cluster 6
31215,Cluster 4
31216,Cluster 8
31217,Cluster 9
31218,Cluster 9
31219,Cluster 8
31220,Cluster 5
31221,Cluster 6
31222,Cluster 8
31223,Cluster 7
31224,Cluster 6
31225,Cluster 4
31226,Cluster 4
31227,Cluster 8
31228,Cluster 8
31229,Cluster 6
31230,Cluster 8
31231,Cluster 8
31232,Cluster 8
31233,Cluster 6
31234,Cluster 6
31235,Cluster 5
31236,Cluster 4
31237,Cluster 5
31238,Cluster 8
31239,Cluster 6
31240,Cluster 5
31241,Cluster 7
31242,Cluster 6
31243,Cluster 9
31244,Cluster 9
31245,Cluster 7
31246,Cluster 4
31247,Cluster 8
31248,Cluster 8
31249,Cluster 9
31250,Cluster 6
31251,Cluster 8
31252,Cluster 6
31253,Cluster 6
31254,Cluster 8
31255,Cluster 5
31256,Cluster 8
31257,Cluster 5
31258,Cluster 5
31259,Cluster 5
31260,Cluster 5
31261,Cluster 5
31262,Cluster 8
31263,Cluster 8
31264,Cluster 8
31265,Cluster 8
31266,Cluster 8
31267,Cluster 6
31268,Cluster 3
31269,Cluster 26
31270,Cluster 8
31271,Cluster 8
31272,Cluster 9
31273,Cluster 9
31274,Cluster 8
31275,Cluster 5
31276,Cluster 6
31277,Cluster 5
31278,Cluster 6
31279,Cluster 5
31280,Cluster 7
31281,Cluster 7
31282,Cluster 6
31283,Cluster 8
31284,Cluster 5
31285,Cluster 6
31286,Cluster 7
31287,Cluster 9
31288,Cluster 8
31289,Cluster 5
31290,Cluster 5
31291,Cluster 8
31292,Cluster 5
31293,Cluster 4
31294,Cluster 9
31295,Cluster 4
31296,Cluster 1
31297,Cluster 5
31298,Cluster 6
31299,Cluster 6
31300,Cluster 12
31301,Cluster 13
31302,Cluster 14
31303,Cluster 11
31304,Cluster 14
31305,Cluster 15
31306,Cluster 14
31307,Cluster 15
31308,Cluster 11
31309,Cluster 11
31310,Cluster 10
31311,Cluster 7
31312,Cluster 4
31313,Cluster 12
31314,Cluster 4
31315,Cluster 10
31316,Cluster 11
31317,Cluster 11
31318,Cluster 12
31319,Cluster 11
31320,Cluster 14
31321,Cluster 8
31322,Cluster 13
31323,Cluster 15
31324,Cluster 6
31325,Cluster 4
31326,Cluster 13
31327,Cluster 7
31328,Cluster 5
31329,Cluster 5
31330,Cluster 6
31331,Cluster 13
31332,Cluster 3
31333,Cluster 14
31334,Cluster 13
31335,Cluster 6
31336,Cluster 7
31337,Cluster 4
31338,Cluster 15
31339,Cluster 2
31340,Cluster 21
31390,Cluster 13
31391,Cluster 13
31392,Cluster 14
31393,Cluster 14
31394,Cluster 14
31395,Cluster 14
31400,Cluster 18
31401,Cluster 18
31402,Cluster 18
31403,Cluster 18
31404,Cluster 18
31405,Cluster 18
31406,Cluster 18
31407,Cluster 18
31408,Cluster 17
31411,Cluster 17
31412,Cluster 19
31413,Cluster 17
31414,Cluster 17
31415,Cluster 18
31416,Cluster 17
31417,Cluster 18
31418,Cluster 19
31419,Cluster 2
31420,Cluster 18
31421,Cluster 18
31422,Cluster 10
31423,Cluster 17
31424,Cluster 18
31425,Cluster 17
31426,Cluster 18
31427,Cluster 19
31428,Cluster 10
31429,Cluster 5
31500,Cluster 21
31501,Cluster 22
31502,Cluster 20
31503,Cluster 21
31504,Cluster 22
31505,Cluster 21
31506,Cluster 21
31507,Cluster 21
31508,Cluster 23
31509,Cluster 7
31510,Cluster 22
31511,Cluster 22
31512,Cluster 23
31513,Cluster 21
31514,Cluster 21
31515,Cluster 19
31516,Cluster 22
31517,Cluster 23
31518,Cluster 23
31519,Cluster 21
31520,Cluster 23
31521,Cluster 22
31522,Cluster 21
31523,Cluster 21
31524,Cluster 23
31525,Cluster 23
31526,Cluster 22
31527,Cluster 21
31528,Cluster 20
31529,Cluster 21
31530,Cluster 23
31531,Cluster 21
31532,Cluster 23
31533,Cluster 21
31534,Cluster 21
31535,Cluster 22
31536,Cluster 23
31537,Cluster 24
31538,Cluster 24
31539,Cluster 24
31540,Cluster 25
31541,Cluster 20
31542,Cluster 20
31543,Cluster 22
31544,Cluster 20
31545,Cluster 20
31546,Cluster 20
31600,Cluster 8
31601,Cluster 26
31602,Cluster 2
31603,Cluster 25
31604,Cluster 8
31605,Cluster 26
31606,Cluster 26
31607,Cluster 26
31608,Cluster 26
31609,Cluster 9
31610,Cluster 26
31611,Cluster 25
31612,Cluster 25
31615,Cluster 25
31616,Cluster 25
31617,Cluster 23
31618,Cluster 26
31619,Cluster 26
31620,Cluster 8
31621,Cluster 8
31622,Cluster 25
31623,Cluster 25
31624,Cluster 8
31625,Cluster 26
31626,Cluster 26
31627,Cluster 25
31628,Cluster 27
31629,Cluster 26
31630,Cluster 26
31631,Cluster 25
31632,Cluster 25
31633,Cluster 9
31634,Cluster 27
31635,Cluster 27
31636,Cluster 21
31637,Cluster 25
31638,Cluster 8
31639,Cluster 25
31640,Cluster 25
31641,Cluster 25
31642,Cluster 8
31643,Cluster 26
31644,Cluster 26
31645,Cluster 25
31646,Cluster 9
31647,Cluster 25
31648,Cluster 9
31649,Cluster 2
31650,Cluster 27
31651,Cluster 2
31652,Cluster 27
31653,Cluster 8
31654,Cluster 9
31655,Cluster 8
31656,Cluster 23
31657,Cluster 25
31658,Cluster 25
31659,Cluster 26
31660,Cluster 25
31661,Cluster 25
31662,Cluster 25
31663,Cluster 26
31664,Cluster 9
31665,Cluster 26
31666,Cluster 9
31667,Cluster 9
31668,Cluster 27
31669,Cluster 27
31670,Cluster 8
31671,Cluster 33
31672,Cluster 25
31673,Cluster 9
31674,Cluster 9
31675,Cluster 25
31676,Cluster 9
31677,Cluster 8
31678,Cluster 9
31680,Cluster 9
31699,Cluster 26
31700,Cluster 35
31701,Cluster 34
31702,Cluster 32
31703,Cluster 30
31704,Cluster 30
31705,Cluster 32
31706,Cluster 34
31707,Cluster 33
31708,Cluster 32
31710,Cluster 31
31711,Cluster 31
31712,Cluster 25
31713,Cluster 31
31714,Cluster 31
31715,Cluster 32
31716,Cluster 25
31717,Cluster 30
31718,Cluster 33
31719,Cluster 25
31720,Cluster 34
31721,Cluster 32
31722,Cluster 33
31723,Cluster 32
31724,Cluster 34
31725,Cluster 25
31726,Cluster 32
31727,Cluster 26
31728,Cluster 33
31730,Cluster 10
31731,Cluster 19
31800,Cluster 39
31801,Cluster 37
31802,Cluster 34
31803,Cluster 28
31804,Cluster 34
31805,Cluster 34
31806,Cluster 38
31808,Cluster 28
31811,Cluster 39
31812,Cluster 34
31813,Cluster 38
31814,Cluster 38
31815,Cluster 38
31816,Cluster 39
31817,Cluster 39
31818,Cluster 39
31819,Cluster 39
31820,Cluster 34
31822,Cluster 37
31823,Cluster 38
31824,Cluster 39
31825,Cluster 28
31826,Cluster 34
31827,Cluster 37
31828,Cluster 27
31829,Cluster 28
31830,Cluster 39
31831,Cluster 34
31982,Cluster 6
32140,Cluster 1
32226,Cluster 6
32301,Cluster 6
32399,Cluster 2
32901,Cluster 17
33000,Cluster 4
33001,Cluster 9
33002,Cluster 8
33101,Cluster 1
33200,Cluster 5
33201,Cluster 17
33202,Cluster 15
33203,Cluster 37
33204,Cluster 2
33205,Cluster 4
33206,Cluster 4
33207,Cluster 19
